game_id,data_completeness,url,league,year,split,playoffs,date,game,patch,participant_id,side,position,player_name,player_id,team_name,team_id,champion,ban_1,ban_2,ban_3,ban_4,ban_5,game_length,winner,kills,deaths,assists,team_kills,team_deaths,double_kills,triple_kills,quadra_kills,penta_kills,first_blood,first_blood_kill,first_blood_assist,first_blood_victim,team_kpm,c_kpm,first_dragon,dragons,opp_dragons,elemental_drakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons_unknown,elders,opp_elders,first_herald,heralds,opp_heralds,first_baron,barons,opp_barons,first_tower,towers,opp_towers,first_mid_tower,first_to_three_towers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damage_to_champions,dpm,damage_share,damage_taken_per_minute,damage_mitigated_per_minute,wards_placed,wpm,wards_killed,wcpm,control_wards_bought,vision_score,vspm,total_gold,earned_gold,earned_gpm,earned_gold_share,gold_spent,gspd,total_cs,minion_kills,monster_kills,monster_kills_own_jungle,monster_kills_enemy_jungle,cspm,gold_at_10_mins,xp_at_10_mins,cs_at_10_mins,opp_gold_at_10,opp_xp_at_10,opp_cs_at_10,gold_diff_at_10_mins,xp_diff_at_10_mins,cs_diff_at_10_mins,kills_at_10_mins,assists_at_10_mins,deaths_at_10_mins,opp_kills_at_10,opp_assists_at_10,opp_deaths_at_10,gold_at_15_mins,xp_at_15_mins,cs_at_15_mins,opp_gold_at_15,opp_xp_at_15,opp_cs_at_15,gold_diff_at_15_mins,xp_diff_at_15_mins,cs_diff_at_15_mins,kills_at_15_mins,assists_at_15_mins,deaths_at_15_mins,opp_kills_at_15,opp_assists_at_15,opp_deaths_at_15
ESPORTSTMNT06_2290288,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/2290288?gameHash=1c84ae8cb24e565f,LEC,2022,Spring,TRUE,2022-03-26T17:37:21Z,3,12.05,100,Blue,team,NA,NA,Fnatic,oe:team:78f183fa5a7d8ecb22b9ad272c3abd7,NA,Lucian,Irelia,Hecarim,Lissandra,Trundle,2105,TRUE,21,12,45,21,12,5,0,0,0,TRUE,NA,NA,NA,0.5986,0.9406,TRUE,4,0,NA,NA,0,1,1,2,NA,NA,NA,0,0,TRUE,2,0,TRUE,1,0,TRUE,11,1,TRUE,TRUE,NA,NA,2,0,61484,1752.5131,NA,2668.2755,2666.3088,121,3.4489,65,1.8527,33,308,8.7791,69023,46174,1316.1235,NA,62251,0.169327,NA,896,260,144,34,32.9501,17178,17793,303,14837,16490,268,2341,1303,35,6,10,3,3,6,6,28861,28744,477,22992,25824,424,5869,2920,53,11,19,5,5,9,11
ESPORTSTMNT06_2290288,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/2290288?gameHash=1c84ae8cb24e565f,LEC,2022,Spring,TRUE,2022-03-26T17:37:21Z,3,12.05,200,Red,team,NA,NA,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,NA,Twisted Fate,Caitlyn,Jinx,Jayce,Renata Glasc,2105,FALSE,12,21,19,12,21,1,0,0,0,FALSE,NA,NA,NA,0.342,0.9406,FALSE,0,4,NA,NA,0,0,0,0,NA,NA,NA,0,0,FALSE,0,2,FALSE,0,1,FALSE,1,11,FALSE,FALSE,NA,NA,0,2,53393,1521.8907,NA,2448.1425,2527.2114,124,3.5344,52,1.4822,41,237,6.7553,55436,32587,928.8456,NA,52533,-0.169327,NA,847,183,157,0,29.3587,14837,16490,268,17178,17793,303,-2341,-1303,-35,3,6,6,6,10,3,22992,25824,424,28861,28744,477,-5869,-2920,-53,5,9,11,11,19,5
ESPORTSTMNT06_2290290,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/2290290?gameHash=efb0ee995ec46930,LEC,2022,Spring,TRUE,2022-03-26T18:32:13Z,4,12.05,1,Blue,top,BrokenBlade,oe:player:84bff3a326833c7c9181c698f676878,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,Camille,Twisted Fate,Caitlyn,Zeri,Jayce,Renata Glasc,1796,FALSE,4,4,5,14,15,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0.4677,0.9688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,11620,388.196,0.218655,671.3586,650.4788,15,0.5011,1,0.0334,9,28,0.9354,10467,6528,218.0846,0.224656,10058,NA,189,173,16,7,0,6.314,3644,3879,60,2924,3798,62,720,81,-2,2,0,0,0,0,2,5572,6097,91,5600,6262,102,-28,-165,-11,2,3,2,2,2,2
ESPORTSTMNT06_2290290,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/2290290?gameHash=efb0ee995ec46930,LEC,2022,Spring,TRUE,2022-03-26T18:32:13Z,4,12.05,2,Blue,jng,Jankos,oe:player:a2f6e754fc2b358f7786f52decb4274,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,Trundle,Twisted Fate,Caitlyn,Zeri,Jayce,Renata Glasc,1796,FALSE,2,2,7,14,15,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0.4677,0.9688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,5983,199.8775,0.112583,987.5612,607.0824,11,0.3675,14,0.4677,9,37,1.2361,8121,4182,139.7105,0.143915,8075,NA,125,29,96,67,8,4.1759,2836,2928,51,3120,3309,63,-284,-381,-12,0,1,0,0,1,0,4656,4977,79,4838,5319,98,-182,-342,-19,1,3,1,0,3,1
ESPORTSTMNT06_2290290,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/2290290?gameHash=efb0ee995ec46930,LEC,2022,Spring,TRUE,2022-03-26T18:32:13Z,4,12.05,3,Blue,mid,caPs,oe:player:e1fb28915499c2c9cb9bbb1a38cdb92,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,Orianna,Twisted Fate,Caitlyn,Zeri,Jayce,Renata Glasc,1796,FALSE,5,4,3,14,15,1,0,0,0,FALSE,FALSE,FALSE,FALSE,0.4677,0.9688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,19996,668.0178,0.376268,532.3497,369.4878,12,0.4009,12,0.4009,4,29,0.9688,11874,7935,265.0891,0.27308,10225,NA,258,214,44,40,4,8.6192,3265,4834,94,3860,5061,99,-595,-227,-5,0,0,1,1,0,0,5298,7442,141,5710,6910,126,-412,532,15,1,1,2,3,1,2
ESPORTSTMNT06_2290290,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/2290290?gameHash=efb0ee995ec46930,LEC,2022,Spring,TRUE,2022-03-26T18:32:13Z,4,12.05,4,Blue,bot,Flakked,oe:player:717bb4d71a2dab54e7020b1a8fde420,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,Aphelios,Twisted Fate,Caitlyn,Zeri,Jayce,Renata Glasc,1796,FALSE,1,3,6,14,15,0,0,0,0,TRUE,FALSE,TRUE,FALSE,0.4677,0.9688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,9922,331.4699,0.186704,305.245,343.0624,15,0.5011,14,0.4677,5,47,1.5702,11142,7203,240.6347,0.247887,10325,NA,251,231,20,16,0,8.3853,3604,2995,70,3447,3374,78,157,-379,-8,0,1,1,1,1,0,5707,5591,124,5217,5616,120,490,-25,4,1,2,2,2,1,1
ESPORTSTMNT06_2290290,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/2290290?gameHash=efb0ee995ec46930,LEC,2022,Spring,TRUE,2022-03-26T18:32:13Z,4,12.05,5,Blue,sup,Targamas,oe:player:eaf899c6268995f9b1e40d1932c6888,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,Rakan,Twisted Fate,Caitlyn,Zeri,Jayce,Renata Glasc,1796,FALSE,2,2,8,14,15,0,0,0,0,TRUE,TRUE,FALSE,FALSE,0.4677,0.9688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,5622,187.8174,0.10579,306.1804,428.2517,43,1.4365,17,0.5679,13,100,3.3408,7149,3210,107.2383,0.110462,6725,NA,46,46,0,0,0,1.5367,2605,2661,21,2437,3027,19,168,-366,2,1,1,0,0,2,1,4045,3962,27,3865,5235,29,180,-1273,-2,2,3,0,0,6,1
ESPORTSTMNT06_2290290,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/2290290?gameHash=efb0ee995ec46930,LEC,2022,Spring,TRUE,2022-03-26T18:32:13Z,4,12.05,6,Red,top,Wunder,oe:player:d11068c782573b34be81beb5a4eeb12,Fnatic,oe:team:78f183fa5a7d8ecb22b9ad272c3abd7,Gnar,Lucian,Hecarim,Jinx,Irelia,Aatrox,1796,TRUE,4,3,7,15,14,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0.5011,0.9688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,17657,589.8775,0.268584,508.5301,529.1091,14,0.4677,4,0.1336,5,25,0.8352,11679,7740,258.5746,0.246241,10308,NA,191,172,19,13,3,6.3808,2924,3798,62,3644,3879,60,-720,-81,2,0,0,2,2,0,0,5600,6262,102,5572,6097,91,28,165,11,2,2,2,2,3,2
ESPORTSTMNT06_2290290,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/2290290?gameHash=efb0ee995ec46930,LEC,2022,Spring,TRUE,2022-03-26T18:32:13Z,4,12.05,7,Red,jng,Razork,oe:player:390ca7b6b38d552363eba1b5b54ff18,Fnatic,oe:team:78f183fa5a7d8ecb22b9ad272c3abd7,Volibear,Lucian,Hecarim,Jinx,Irelia,Aatrox,1796,TRUE,1,4,7,15,14,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0.5011,0.9688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,11231,375.2004,0.170837,892.7506,844.3096,13,0.4343,4,0.1336,11,33,1.1024,9106,5167,172.6169,0.164379,7425,NA,153,34,119,67,4,5.1114,3120,3309,63,2836,2928,51,284,381,12,0,1,0,0,1,0,4838,5319,98,4656,4977,79,182,342,19,0,3,1,1,3,1
ESPORTSTMNT06_2290290,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/2290290?gameHash=efb0ee995ec46930,LEC,2022,Spring,TRUE,2022-03-26T18:32:13Z,4,12.05,8,Red,mid,Humanoid,oe:player:edf8b064c096691e539b7e2a3e28179,Fnatic,oe:team:78f183fa5a7d8ecb22b9ad272c3abd7,LeBlanc,Lucian,Hecarim,Jinx,Irelia,Aatrox,1796,TRUE,4,3,4,15,14,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0.5011,0.9688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,14116,471.5813,0.214721,517.4499,248.9866,24,0.8018,14,0.4677,3,49,1.637,11250,7311,244.2428,0.232592,10715,NA,228,212,16,12,0,7.6169,3860,5061,99,3265,4834,94,595,227,5,1,0,0,0,0,1,5710,6910,126,5298,7442,141,412,-532,-15,3,1,2,1,1,2
